,Mean,Variance,Median,Mode,Skewness,Kurtosis,Energy,Entropy,MinimalGrayLevel,MaximalGrayLevel,CoefficientOfVariation,10Percentile,25Percentile,75Percentile,90Percentile,HistogramWidth,ASM,Contrast,Correlation,SumOfSquaresVariance,InverseDifferenceMoment,SumAverage,SumVariance,SumEntropy,Entropy,DifferenceVariance,DifferenceEntropy,Information1,Information2,MaximalCorrelationCoefficient,Target
Image_23,127.67898471717906,796.198667813767,123.0,119.0,1.0589502612778146,5.006525888359931,0.012043622417960571,4.6734349214990685,10.0,255.0,0.08686266209725897,97.0,109.0,140.0,161.0,64.0,0.0003288296658141512,859.5500938429323,0.4580479844798523,792.9634389364819,0.1266157862979316,254.34554427469618,2312.3036619030026,7.547692735261478,12.6725560684249,0.00015126534758918623,5.339902205887451,-0.11465507641100921,0.8656996208199065,5.286081897126451,2
Image_24,135.7980143922224,205.08380476127468,135.0,135.0,0.39693917233986953,6.888509855441155,0.030993132658395095,3.889425433512582,49.0,226.0,0.0855605296632946,122.0,129.0,140.0,149.0,27.0,0.0024743737198144027,231.93413137377618,0.4252620796568779,202.11096023046412,0.268178463200246,270.45980837098944,576.5097095481105,6.409285249143662,10.430566040626868,0.0003781821798796684,4.350024503459531,-0.13360008990162764,0.8442874464774659,3.809038383061619,2
Image_25,136.60356124762143,245.97583865020735,136.0,135.0,-0.07656254935681188,7.029682927024258,0.028074261757987735,3.986310720764096,34.0,227.0,0.08537042287317133,122.0,130.0,142.0,151.0,29.0,0.001968159283096622,212.05410526811235,0.567089874408307,244.8832565438006,0.24517376236154712,272.1425269328015,767.4789209070987,6.597257054089705,10.660915567913198,0.0003559689177562127,4.353171387562222,-0.14101330262973152,0.8693109435997585,5.371209412646344,2
Image_26,138.96054763668693,276.6595299442131,138.0,138.0,-0.17459066611381635,6.609592924357704,0.023231158722846073,4.108126038591283,13.0,240.0,0.08453723250417962,123.0,131.0,146.0,156.0,33.0,0.0015666046009892764,161.46699048846193,0.7070185352811988,275.5111559750803,0.25128877324235604,276.8332203161823,940.5776334118673,6.82529082907783,10.759654566747747,0.0003619467484253289,4.2003957435070784,-0.17938292298689934,0.9270651919286313,5.411835526981207,2
Image_27,132.94535543115393,326.2672625073146,129.0,127.0,1.8630589342859303,7.414322708660752,0.02570806717000796,4.012327196297214,72.0,246.0,0.08543221878467368,117.0,122.0,136.0,153.0,36.0,0.001082269563283329,296.14332808648976,0.5441148453641425,324.77034238395754,0.15796954190112206,264.8494525057384,1002.9380414493899,6.647446694454698,11.02679679426214,0.0002314495920479246,4.697209817392347,-0.08917042577879128,0.7690179862341422,4.5545923699533475,2
Image_28,127.71113233676309,442.6787168241964,124.0,123.0,1.0709718900955973,5.604675860504089,0.01839807101751359,4.323685118729452,22.0,255.0,0.08719309367876113,106.0,115.0,135.0,152.0,46.0,0.0006796151123065108,229.2843977135921,0.7379561480174359,437.8738163023563,0.14789280335777136,254.52928599333194,1522.2108674958527,7.140413563684186,11.5962114439686,0.00021268227781839666,4.674688575669035,-0.13360535344650007,0.8855447267139486,5.330515987606457,2
Image_29,128.53758843743685,969.4365931416027,134.0,147.0,-0.8028769527795597,3.7198622915270954,0.010032537380567962,4.806229002054101,0.0,237.0,0.09005799037862404,87.0,109.0,150.0,162.0,75.0,0.0002484413613058815,623.4931935060351,0.6762280974932879,963.022900831892,0.1147803525725507,256.09950578931637,3228.5984098215376,7.784720005411102,13.005743607347654,0.0001504142136259145,5.389706218862313,-0.11809461168903118,0.8203708927286899,6.905195235648706,2
Image_30,112.64250471248955,103.3984534505232,114.0,114.0,-4.579819806438217,31.783303558546955,0.07139115344045623,3.0744889573253826,3.0,180.0,0.09478729436355884,107.0,111.0,116.0,118.0,11.0,0.010205167227977645,43.93158599637353,0.7850179273427721,102.27063594118954,0.4033707154901872,224.41564546878092,365.15095776837916,5.354501068523943,7.931760213456505,0.001042044470178108,2.9614671366553385,-0.20583447373183264,0.9089561101528237,5.009865731258548,2
Image_31,135.82236215635078,394.49463110319437,128.0,125.0,1.5626654905028257,4.544891908829081,0.038192445512301144,3.777551415254408,38.0,212.0,0.08329783343011721,121.0,124.0,135.0,173.0,52.0,0.004280248016426795,105.58637326875976,0.8648248300325858,390.82272886191913,0.3039883862924677,270.4884332860005,1457.704542178919,6.39922212869188,9.759485769722005,0.0005502488081960693,3.829734973686113,-0.20310879559160436,0.9316328907767623,5.342416461305955,2
Image_32,147.54113993116763,325.9020399372378,146.0,146.0,-0.5356531524899266,6.270614326660365,0.018430441275752746,4.261186049051841,0.0,229.0,0.08189611371602304,127.0,137.0,157.0,170.0,43.0,0.0007072888742248248,236.2113822819457,0.6330851195140406,322.10454865460724,0.16586109847796585,293.82405142473766,1052.2068123364988,6.973057528378135,11.554841935286058,0.0002276813628590749,4.740818472812732,-0.11389899147562675,0.8444648124585975,4.91305403144267,2
Image_33,146.58463416100903,428.8132130117338,146.0,144.0,-0.5849647952810797,6.345337292546187,0.01587851846270273,4.405019955519447,0.0,242.0,0.08243050878254071,123.0,135.0,158.0,172.0,49.0,0.0005095428286765334,303.8967518034204,0.6417667156893132,424.41899792835557,0.14701497677513464,291.9078025206247,1393.7792399099926,7.181243290752991,11.980199545940064,0.00018591505357066986,4.935623963019858,-0.10818050569697066,0.8397980736227538,5.433858583560878,2
Image_34,148.63132175964944,580.1591401564193,141.0,138.0,1.3935527846389029,4.581068861346806,0.019510473539637183,4.29247264895535,38.0,255.0,0.07989125001686942,127.0,133.0,154.0,189.0,62.0,0.0012337414472313288,406.32140081326577,0.6470539327083392,575.8867952544315,0.23201211716892214,295.98647666516655,1897.225780204495,7.117170801953627,11.381811691261259,0.00026369159893399716,4.725935864683789,-0.15550108213203706,0.9034411328004135,4.5298051020917205,2
Image_35,119.71892836253569,279.39489259407947,117.0,117.0,0.8248478076835456,5.33340208638303,0.021383782629313414,4.154767827889817,46.0,231.0,0.09035040635877328,101.0,110.0,126.0,139.0,38.0,0.0007630775731874192,207.22493462322856,0.6257188011874497,277.03910543939264,0.13356513687040014,238.46250492635397,900.9314871343759,6.8419314134610545,11.376136155504046,0.00021494952416192798,4.708609091985192,-0.09558291865355596,0.7867143342283947,5.716676173636472,2
Image_36,119.40396326526357,270.04847085085476,117.0,116.0,0.8309467235133388,5.489541163234989,0.021816178166398026,4.13593415803505,57.0,234.0,0.09058873366173012,101.0,110.0,126.0,138.0,37.0,0.0008192269691102063,189.16257263905788,0.6462535958124452,267.6144775189978,0.14019837001393948,237.83269599091724,881.2953374369263,6.822632806421965,11.288537496058641,0.00022605145466927256,4.631754088169864,-0.10158182826750554,0.7990637811083899,5.771849145618145,2
Image_37,120.262565863493,462.4293209504831,117.0,113.0,0.4593232122063236,4.607916641786615,0.01597323306788906,4.424180066537011,0.0,255.0,0.08994198442988219,97.0,107.0,130.0,149.0,52.0,0.0004339354995888883,298.0511042125753,0.6735536923404017,456.99085147261394,0.10756623059946022,239.5076919451701,1529.9123016778703,7.225420207023149,12.086639915021053,0.00015564320482046898,4.9903172079402855,-0.09927947416582261,0.8137153262584582,5.998854047572454,2
Image_38,107.83611961591221,198.6178724151863,110.0,110.0,-1.8104838551061935,10.768500422787735,0.039044916782804986,3.721017063635669,0.0,214.0,0.09725951303753981,93.0,105.0,114.0,118.0,25.0,0.008352633767982367,145.18273762650307,0.6239326176016377,193.25393164832212,0.42814296961152737,214.9908025282719,627.8329889667821,6.196785566894687,9.439409870066113,0.0006857422784842249,3.7671288708432655,-0.23331450715619226,0.9458219828158992,4.674204453280169,2
Image_39,105.78417428831321,628.047948746577,106.0,105.0,0.39050307095925785,10.962281966357596,0.042456787043463284,3.931716192650052,0.0,255.0,0.09732675242070153,84.0,102.0,110.0,121.0,37.0,0.011199468252951823,178.52737974405454,0.8535345789193542,610.7030120045711,0.4378616238629899,210.85874877472787,2264.28466827424,6.5068624859824675,9.645130797226075,0.000602814076104287,3.7784178786431233,-0.29009860752505295,0.9744456955883108,5.152839715410271,2
Image_40,127.69297199401176,269.8476781341212,127.0,131.0,0.702722855830693,4.519875697281789,0.024114592825855083,4.0214052783443535,64.0,204.0,0.08825409490910065,109.0,118.0,133.0,144.0,35.0,0.0021760523568875806,118.49158033785355,0.7757511651648864,264.58785714849046,0.3047351509370064,254.209087301424,939.859848256112,6.6289134445726665,10.29970329570444,0.0004889102462617415,3.981729117611337,-0.21779811452332118,0.9413186492889551,3.9966752278214734,2
Image_41,125.40276566448802,667.4380082843122,125.0,132.0,0.24952758937657402,3.9333888809079394,0.011799904665909113,4.657538699666467,31.0,255.0,0.08915544907049076,92.0,108.0,140.0,154.0,62.0,0.00031782469154201953,261.6274344573732,0.8021674075883721,661.5381890659687,0.12210481887427022,249.76162673807892,2384.525321806488,7.622831154110832,12.403937393804043,0.00016733916980541142,4.906401245357893,-0.14757814462408814,0.9224219794464601,5.742253149826556,3
Image_42,128.45539908070054,882.3081352632047,126.0,129.0,0.6057575609059029,4.381649710463332,0.010619974164315489,4.7791787429529915,0.0,255.0,0.08738419903448257,93.0,109.0,144.0,163.0,70.0,0.00019989798111978992,502.1732031266206,0.7111773674547108,870.1658518638774,0.08354929207179747,255.7202604128886,2978.490204328902,7.754034481168802,13.048995100314471,0.00010956842732255391,5.420606121575873,-0.10034931388383708,0.8569550881620902,6.911239741203965,3
Image_43,128.51963936507937,965.1064901409286,128.0,135.0,0.4420537055144806,4.150431692935316,0.010064124241018765,4.828874693816418,0.0,255.0,0.08803096985703851,90.0,108.0,145.0,163.0,73.0,0.0001927303993052228,482.856587786844,0.7465702610362123,953.2865252275178,0.08645830201402409,255.92003935410312,3330.28951312324,7.836099647379394,13.101593186665317,0.00011314020939852488,5.384936366963548,-0.11230595526239057,0.8821432918129908,7.040130654302132,3
Image_44,140.66712363386782,1635.4343803413958,127.0,109.0,0.9156300797182543,3.07083072187915,0.009233381286291307,4.917296363293428,51.0,255.0,0.08011415445528704,99.0,109.0,164.0,202.0,103.0,0.00018279757061590604,711.3674947171796,0.780844544512122,1623.6231993276433,0.07379285686999762,279.97695985581856,5783.125302593435,7.996934815695521,13.361401103608383,9.009877511946548e-05,5.6702603031424825,-0.10988565699602257,0.8796834377669592,6.946280812747096,3
Image_45,150.27572403776324,1421.2020383242814,158.0,185.0,-0.8109402419983344,3.025542821473414,0.008589294082839304,4.94544649744993,0.0,255.0,0.08364494778157136,94.0,125.0,180.0,191.0,97.0,0.00018652652324149303,431.7117321266698,0.8467878799931008,1409.2377022302326,0.09442091915755577,299.6441660962274,5205.239076794263,8.014786632173092,13.129858979595996,0.00012707784481637527,5.256725851791736,-0.15314845437409985,0.9369536730693053,6.118358530866434,3
Image_46,140.00940814305523,1427.9742585282274,143.0,177.0,-0.47869791475065854,2.5738121687035145,0.007705972249720013,5.003061326749906,0.0,241.0,0.08541040849828457,87.0,112.0,171.0,185.0,98.0,0.00014546041748002265,515.736679171237,0.8177278445530298,1414.8927500163973,0.0858373505051214,279.1634985854225,5143.83432089437,8.106551725769275,13.36037034164172,0.00011758874095968888,5.410013821439604,-0.14227991018345132,0.927631011935021,6.378494961553906,3
Image_47,156.10386816672025,650.3712940603258,160.0,164.0,-2.1584459961172446,9.512408680820075,0.016675748925249884,4.4123547507343295,0.0,234.0,0.08103009098508797,128.0,148.0,171.0,179.0,51.0,0.0004196718287894492,500.97065135674404,0.6028806199500943,632.062792963925,0.09898165308301995,311.3073189914785,2027.2805204989636,7.163223357139815,12.213652873069186,0.00013983154531097445,5.29064676712584,-0.07274021015678517,0.7603015394434736,5.295827471650263,3
Image_48,159.37566407906968,1008.2174385523356,163.0,172.0,-0.9505871737820528,4.336215474114851,0.009906083714132657,4.8267929808266015,0.0,255.0,0.08010724478280229,117.0,142.0,181.0,195.0,78.0,0.00015530305706562515,715.523889297162,0.642465714896321,1000.8917578188039,0.06643444856790094,317.5937959276638,3288.043141978036,7.8005344597211295,13.32063019905693,8.727580180934642e-05,5.677862103580067,-0.08058290650046408,0.8092897989302991,7.122126032009766,3
Image_49,154.4084527339391,763.3486346858258,158.0,163.0,-1.303676669483725,5.706659953131758,0.012557364796391943,4.640139762271525,0.0,255.0,0.08140619808965732,120.0,142.0,172.0,183.0,63.0,0.0002142030606456176,616.129035488564,0.5906755643427286,753.2556572157546,0.06586552403492096,307.7926253795151,2396.893593374447,7.476632885973946,12.937082197874407,9.007854631396325e-05,5.6030900479604675,-0.06022490145165435,0.7264866589623551,6.298864462002828,3
Image_50,157.994549970351,205.52932850694256,159.0,160.0,-1.1435026425680705,5.5487566134181145,0.023748044094593045,4.007930148748474,69.0,206.0,0.07980984290461142,140.0,151.0,166.0,174.0,34.0,0.0014860710766479031,94.1278085624066,0.7639249856437861,200.1439357614945,0.23785087403362112,314.9484082659341,706.4479344835672,6.6748762059587285,10.47001867731684,0.00043790280662523817,4.010294024816987,-0.18101789138170252,0.9194476063488237,4.123875427201682,3
Image_51,158.91698521949013,274.292717915756,160.0,160.0,-1.2255884188429285,5.6594168686916015,0.021806943888323715,4.12071956607583,58.0,207.0,0.07959571233498448,139.0,152.0,168.0,177.0,38.0,0.0013618659804163207,91.82040800925694,0.8275923842596653,267.4128950879758,0.23958504823650006,316.797829568513,977.8311723426486,6.847190267366702,10.637356667492341,0.0004395543359113339,3.9971820236162374,-0.2028449525454774,0.9417132355448466,4.601359922601716,3
Image_52,148.24490699020197,491.23440009812066,148.0,143.0,-0.7884917989781941,5.494471842355483,0.015777064363321755,4.443506089227556,30.0,240.0,0.08206369653832696,123.0,138.0,161.0,173.0,50.0,0.001226998803620725,132.60109301285394,0.8610892143869306,478.6037362790439,0.2240695321910312,295.39762426806806,1781.8138521033652,7.316212114758062,11.32278094821184,0.00032132770100786004,4.238496497150998,-0.2256868753492991,0.9650966280884233,5.047985462170676,3
Image_53,147.8423804742509,364.63314324891826,147.0,149.0,0.007867586927227565,4.0339543713917685,0.015345263924103021,4.362783936908954,10.0,255.0,0.08200866094072255,123.0,134.0,159.0,171.0,48.0,0.000652657162688188,118.65640341151425,0.8342290706242158,358.4349283509255,0.18926684256417586,294.5008476589346,1315.0833099921656,7.20921081660435,11.313363301357697,0.0002788229420139924,4.252764015547495,-0.1953509934824589,0.9492391031382801,4.618453596088066,3
Image_54,117.50404934377683,1314.5127971234117,116.0,132.0,0.28027444344461233,2.826454425061753,0.00778676303827949,4.998620024184332,0.0,255.0,0.0916592208899856,71.0,89.0,142.0,164.0,93.0,8.577019415654379e-05,1027.5189004947456,0.6066336360812891,1306.2078020542635,0.04534219488480662,234.05885303102107,4197.312307722248,8.022232426517105,13.92591629857215,5.9775228702135845e-05,6.022408099244803,-0.062389422120539134,0.7603388714794223,7.906489745126753,3
Image_55,119.65326887210821,1114.4922629789555,118.0,127.0,0.3390672713008127,2.916730193677482,0.008520426672291347,4.9107108261651256,0.0,255.0,0.09078548871749532,77.0,93.0,142.0,162.0,85.0,0.00010507419581936303,837.2676284324862,0.621836128115028,1107.1400005820906,0.05153769271438878,238.36874910568852,3591.292373895896,7.9034295382369395,13.65651646777691,6.876257370437305e-05,5.870069661431862,-0.06584343412387322,0.7683716597565129,7.636297081896823,3
Image_56,118.77491611121896,898.7365610993472,118.0,117.0,0.200179254502932,3.0610637325089436,0.009447584012450695,4.82123294211084,0.0,255.0,0.09145685677461123,80.0,97.0,139.0,156.0,76.0,0.0001262738859310541,692.4448206948384,0.6124768938124497,893.5070535850728,0.055618932220077216,236.69228103173782,2881.5833936454437,7.7736771099635,13.402381588576946,7.673120869539582e-05,5.734889761468307,-0.06683116764465548,0.7671561780911178,7.265950000407886,3
Image_57,127.50266804265567,800.2068907422808,126.0,123.0,0.4788824554615795,4.085235408358894,0.0105173729042586,4.747017820912613,32.0,255.0,0.0880371550857786,92.0,108.0,144.0,162.0,70.0,0.00016814967251201405,586.2388684197477,0.6281061320351192,789.5086930039215,0.06999824751263882,253.91427482985318,2571.7959035959666,7.680485604066025,13.089301112057385,9.511430195497383e-05,5.542715434541068,-0.08164930809651799,0.7955718404015544,6.55125024277317,3
Image_58,127.90309812247617,665.9957253992923,127.0,127.0,0.2575056138072789,3.6850099847678477,0.011321808687426127,4.669045223249134,32.0,255.0,0.08810910630791272,95.0,110.0,144.0,160.0,65.0,0.0002038303484335124,450.9655288220438,0.6587130072356894,661.058486272053,0.08013159877188486,254.80465714516012,2193.2684162661735,7.581951525657109,12.821858836428355,0.0001107413167418567,5.354394184795623,-0.09010614187181436,0.8163948118478983,6.259178837905926,3
Image_59,128.60353533769063,452.18289895767214,129.0,127.0,-0.3763761360409354,3.2555539805038523,0.013321264731631232,4.46736111783589,7.0,255.0,0.08831651992907416,101.0,113.0,144.0,155.0,54.0,0.00047953617475573454,116.79805734846073,0.8695736229021533,447.9741425259599,0.16300170148630974,256.3816824352367,1675.0985127553686,7.3712597978056,11.618280514396318,0.0002432203805151031,4.364667378532081,-0.19093152129989843,0.9523830326417307,5.040810340893779,3
