Mean,Variance,Median,Mode,Skewness,Kurtosis,Energy,EntropyFOS,MinimalGrayLevel,MaximalGrayLevel,CoefficientOfVariation,10Percentile,25Percentile,75Percentile,90Percentile,HistogramWidth,ASM,Contrast,Correlation,SumOfSquaresVariance,InverseDifferenceMoment,SumAverage,SumVariance,SumEntropy,EntropyGLCM,DifferenceVariance,DifferenceEntropy,Information1,Information2,MaximalCorrelationCoefficient,Target
152.4461196776445,10519.917129223493,185.0,255.0,-0.4485587890082662,1.5411122636248857,0.11214508740325159,3.886009395601332,0.0,255.0,0.08922149371526467,0.0,33.0,255.0,255.0,255.0,0.07416566427254923,8193.44301251206,0.3755996482097824,6542.981384612136,0.30251094941363904,378.96130967829924,17978.482525936488,7.026904054671098,9.52156881300429,0.00032454393898778526,6.212765465626554,-0.33484046843214466,0.9889784735689227,2.0938005789304546,1
164.63227362142268,10867.792040778833,220.0,255.0,-0.6329005107643608,1.6740244676851024,0.18574057417882095,3.34760385230448,0.0,255.0,0.09009410274135501,0.0,49.0,255.0,255.0,255.0,0.1957295929100239,6478.2334970280435,0.476624297505869,6177.857900892184,0.468061914305397,405.1110137374378,18233.198106540738,5.7036220217070746,7.471341449096034,0.0008125253147108104,5.052027100663413,-0.39334584201326284,0.9869127503718786,2.2206497937369853,2
127.57022653721683,10963.166830704644,133.0,0.0,-0.03091684159298155,1.3323013121107565,0.10320443880892163,3.9482119459100664,0.0,255.0,0.09040167841440913,0.0,3.0,249.0,255.0,255.0,0.05038169417819979,10280.688287126122,0.33642413543717037,7735.143976036872,0.2529950648065606,345.6180169926066,20659.887617021366,7.440459186433959,10.069339522955548,0.0002279878473509934,6.597364286080219,-0.34232262983456563,0.9920204329535938,2.247461004388478,3
133.59294371470273,10393.465348452399,151.0,255.0,-0.1429796745099615,1.3953728938009926,0.08736845257485665,4.130405653197777,0.0,255.0,0.09198244597174869,0.0,12.0,246.0,255.0,255.0,0.04671236997674649,9091.218805961451,0.3758155673103213,7265.671524040053,0.24489527922981874,344.5039044398836,19971.467290198776,7.523536558397679,10.39189111221936,0.00021343347826261618,6.60090309033539,-0.34863065966171586,0.9936476980756173,2.251734461329272,4
154.19953042705754,10379.337584801808,189.0,255.0,-0.4821522016018841,1.5806645226848572,0.1072021838750094,3.9391342664055387,0.0,255.0,0.08915544066050667,0.0,38.0,255.0,255.0,255.0,0.06331248145022866,8980.976901048964,0.3269888919291712,6612.5493080372635,0.27999939972482774,376.6303945506246,17469.220331100114,7.1822558500281195,9.766996214232416,0.00027922306659115397,6.373085238085759,-0.3202110086166524,0.9872561280691619,2.0584896138584874,5
141.93296528967574,11232.943570190488,162.0,255.0,-0.2594881892403409,1.3625660977731584,0.11861906723625722,3.798729436965378,0.0,255.0,0.0896755875943338,0.0,9.0,255.0,255.0,255.0,0.08149166134023532,8303.918629085169,0.4184715337629511,7087.203736608144,0.3156385087467309,372.3985714658768,20044.89631734742,6.96577946482637,9.337389083373315,0.00035758797478841175,6.123961514032584,-0.3527885044060394,0.9903780266642059,2.1804574531445007,1
133.8057490957548,12692.2656532699,155.0,255.0,-0.10673150315789508,1.2066134868827174,0.1882006044621255,3.1412654396409154,0.0,255.0,0.09304457904181133,0.0,0.0,255.0,255.0,255.0,0.21941852191162048,6049.438538491027,0.5602081584131512,6861.10890068062,0.4973312234837757,397.78386633408024,21394.99706423146,5.470457144677832,6.985940114729507,0.0009221212806749473,4.77946847960499,-0.44119969736329245,0.9902456655359635,2.6573635519900316,2
116.34372739387017,11146.208365055769,105.0,0.0,0.14818961749930748,1.3353784482133009,0.12095768759081027,3.789576150827629,0.0,255.0,0.08807480210144515,0.0,0.0,240.0,255.0,255.0,0.054660613892612786,9690.826234329299,0.3895708340442354,7905.6906463275445,0.26364837665060215,342.51927801099976,21931.936350980915,7.3672133691452775,9.836571708347325,0.00025050995615062867,6.4892032319117785,-0.361480169572292,0.9931915379732417,2.482031046178738,3
105.25713560505108,12087.879283401258,58.0,0.0,0.3499113818255035,1.3546097498610774,0.199267339032421,3.0946319360912593,0.0,255.0,0.07235398400389724,0.0,0.0,253.0,255.0,255.0,0.18381201226667088,5795.952586127888,0.6146533117349404,7509.530103366769,0.45832278879245203,373.8181123352442,24242.167827339174,5.793162906102646,7.41710823412165,0.0007853092500009916,5.027948946778717,-0.48154710405851764,0.9953775494457255,2.765815111629488,4
138.54686211054002,12084.425442082193,160.0,255.0,-0.19901638963139326,1.269373830876815,0.1472789849258786,3.4955644684556053,0.0,255.0,0.09129842746334729,0.0,1.0,255.0,255.0,255.0,0.1100471750464007,10314.186072716315,0.3005463162530584,7268.517792385135,0.36000897623773226,382.9591024145114,18759.885096824226,6.545622934923111,8.536401941264906,0.00047303604794115216,5.889722413107856,-0.3424168729352595,0.9841966739326103,2.195095937289303,5
125.60157370391524,11964.532117492003,124.0,0.0,0.010114322404003237,1.252181302763149,0.14363580055849573,3.5342464092811046,0.0,255.0,0.08865755736397217,0.0,0.0,255.0,255.0,255.0,0.09714349255844526,7733.713626625781,0.4829174973963565,7471.30182148082,0.3445090068295324,366.8734369732964,22151.493659297514,6.776319484487345,8.941459663115614,0.00042938671607581976,5.87692996401559,-0.3801999719000001,0.9924087141306693,2.566054758084044,1
